"measure_id","plot_id","year","tree_id","code_status","code_diam","dbh","h_tot","crown_h1","crown_h2","crown_h3","crown_h4","crown_r1","crown_r2","crown_r3","crown_r4","stratum"
"01Aillon124","Aillon",2001,"124Aillon","0000",1,20,16,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon125","Aillon",2001,"125Aillon","0000",1,62,29.2,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon126","Aillon",2001,"126Aillon","0000",1,43,27,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon127","Aillon",2001,"127Aillon","0000",1,19,8.6,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon128","Aillon",2001,"128Aillon","0000",1,56,28.6,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon129","Aillon",2001,"129Aillon","0000",1,39,23.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon130","Aillon",2001,"130Aillon","0000",1,15,7.8,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon131","Aillon",2001,"131Aillon","0000",1,10,3.6,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon132","Aillon",2001,"132Aillon","0000",1,39,22.9,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon133","Aillon",2001,"133Aillon","0000",1,24,11.4,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon134","Aillon",2001,"134Aillon","0000",1,32,17.5,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon135","Aillon",2001,"135Aillon","0000",1,21,11.5,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon136","Aillon",2001,"136Aillon","0000",1,30,16.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon137","Aillon",2001,"137Aillon","0000",1,35,23.4,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon138","Aillon",2001,"138Aillon","0000",1,35,24.7,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon139","Aillon",2001,"139Aillon","0000",1,13,5.8,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon140","Aillon",2001,"140Aillon","0000",1,24,15.4,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon141","Aillon",2001,"141Aillon","0000",1,59,27.6,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon142","Aillon",2001,"142Aillon","0000",1,26,12.2,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon143","Aillon",2001,"143Aillon","0000",1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon144","Aillon",2001,"144Aillon","0000",1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon145","Aillon",2001,"145Aillon","0000",1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon146","Aillon",2001,"146Aillon","0000",1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon147","Aillon",2001,"147Aillon","0000",1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon148","Aillon",2001,"148Aillon","0000",1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon149","Aillon",2001,"149Aillon","0000",1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon150","Aillon",2001,"150Aillon","0000",1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon151","Aillon",2001,"151Aillon","0000",1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon152","Aillon",2001,"152Aillon","0000",1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon153","Aillon",2001,"153Aillon","0000",1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon154","Aillon",2001,"154Aillon","0000",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon155","Aillon",2001,"155Aillon","0000",1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon156","Aillon",2001,"156Aillon","0000",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon157","Aillon",2001,"157Aillon","0000",1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
